   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              1,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              0,         0,           0,          5
   3,             3,               2,              1,         0,           1,          1
   4,             4,               2,              1,         1,           2,          0
   5,             5,               2,              1,         2,           3,          1
   6,             6,               2,              1,         2,           4,          1
   7,             7,               2,              1,         2,           6,          0
   8,             8,               2,              1,         3,           8,          0
   9,             9,               2,              1,         4,          10,          0
  10,            10,               2,              1,         6,          12,          0
  11,            11,               2,              1,         6,          14,          0
  12,            13,               3,              2,         8,          16,          1
  13,            14,               3,              1,         9,          18,          1
  14,            15,               3,              1,        10,          20,          1
  15,            16,               3,              1,        10,          23,          1
  16,            17,               3,              2,        11,          26,          1
  17,            19,               4,              1,        12,          29,          1
  18,            20,               4,             31,        14,          32,          2
  19,            21,               4,              2,        15,          35,          1
  20,            23,               5,              1,        17,          38,          1
  21,            25,               6,              1,        19,          41,          1
  22,            26,               6,              2,        22,          44,          1
  23,            27,               6,              2,        22,          47,          4
  24,            28,               6,              2,        23,          50,          1
  25,            29,               6,              2,        25,          53,          1
  26,            31,               7,              2,        27,          56,          1
  27,            33,               8,              2,        28,          59,          1
  28,            36,              10,              3,        31,          62,          5
  29,            37,              10,              2,        32,          65,          4
  30,            38,              10,              2,        34,          68,          3
  31,            40,              11,              3,        34,          72,          2
  32,            41,              11,              2,        37,          76,          1
  33,            42,              11,              2,        36,          80,          2
  34,            43,              11,              2,        38,          84,          1
  35,            45,              12,              2,        39,          88,          2
  36,            46,              12,              2,        43,          92,          2
  37,            47,              12,              2,        43,          96,          1
  38,            48,              12,              2,        46,         100,          1
  39,            49,              12,              2,        47,         104,          2
  40,            51,              13,              2,        49,         108,          2
  41,            52,              13,              2,        51,         112,          2
  42,            53,              13,              3,        54,         116,          2
  43,            54,              13,              3,        56,         120,          2
  44,            55,              13,              3,        60,         124,          2
  45,            56,              13,              3,        63,         128,          3
  46,            57,              13,              3,        66,         132,          3
  47,            59,              14,              3,        66,         136,          5
  48,            61,              15,              4,        67,         140,          8
  49,            62,              15,              3,        68,         144,          2
  50,            63,              15,              3,        70,         148,          3
  51,            65,              16,              4,        71,         152,          2
  52,            67,              17,              3,        75,         156,          5
  53,            70,              19,              3,        78,         160,          2
  54,            73,              21,              3,        80,         164,          2
  55,            74,              21,              4,        81,         168,          5
  56,            75,              21,              4,        83,         172,          4
  57,            76,              21,              4,        85,         176,          6
  58,            77,              21,              4,        88,         180,          4
  59,            78,              21,              4,        91,         184,          3
  60,            79,              21,              4,        95,         188,          3
  61,            80,              21,              4,        97,         192,          4
  62,            81,              21,              4,        99,         196,          8
  63,            82,              21,              4,        99,         201,          4
  64,            84,              22,              5,       100,         206,          3
  65,            85,              22,              4,       101,         211,          3
  66,            86,              22,              4,       104,         216,          4
  67,            87,              22,              4,       107,         221,          5
  68,            89,              23,              4,       105,         226,          3
  69,            92,              25,              4,       109,         231,          4
  70,            96,              28,              6,       112,         236,          3
  71,           100,              31,              5,       113,         241,          3
  72,           101,              31,              5,       114,         246,          4
  73,           102,              31,             15,       115,         251,          5
  74,           103,              31,              5,       120,         256,          3
  75,           104,              31,              6,       124,         261,          5
  76,           105,              31,              5,       125,         266,          4
  77,           106,              31,              5,       128,         271,          3
  78,           108,              32,              5,       132,         276,          5
  79,           111,              34,              5,       133,         281,          5
  80,           112,              34,              6,       136,         286,          3
  81,           113,              34,              5,       138,         291,          4
  82,           114,              34,              5,       138,         296,          4
  83,           116,              35,              5,       140,         301,          3
  84,           117,              35,              6,       146,         306,          8
  85,           120,              37,              5,       148,         311,          5
  86,           124,              40,              6,       155,         316,          4
  87,           125,              40,              6,       156,         321,          5
  88,           126,              40,              6,       156,         326,         10
  89,           127,              40,             11,       159,         331,          6
  90,           128,              40,              6,       163,         336,          3
  91,           130,              41,              6,       168,         341,          5
  92,           131,              41,              7,       174,         346,          4
  93,           132,              41,              6,       179,         351,          5
  94,           133,              41,              6,       181,         356,          3
  95,           134,              41,              6,       181,         361,          6
  96,           135,              41,              6,       180,         366,          5
  97,           139,              44,              7,       182,         371,          5
  98,           144,              48,              6,       184,         376,          4
  99,           145,              48,             12,       185,         381,          5
 100,           146,              48,              7,       186,         386,          4
 101,           147,              48,              7,       188,         391,          6
 102,           148,              48,              7,       196,         396,          4
 103,           149,              48,              2,       198,         401,          5
 104,           150,              48,              1,       197,         406,          6
 105,           151,              48,              1,       201,         411,          9
 106,           152,              48,              1,       203,         416,          8
 107,           154,              49,              1,       204,         421,          5
 108,           156,              50,              1,       207,         426,          6
 109,           160,              53,              1,       211,         431,          6
 110,           163,              55,              1,       217,         436,          7
 111,           164,              55,              2,       218,         441,          5
 112,           165,              55,              2,       219,         446,          6
 113,           167,              56,              1,       221,         451,          6
 114,           169,              57,              2,       223,         456,          6
 115,           173,              60,              2,       224,         461,         24
 116,           174,              60,              2,       226,         466,         14
 117,           175,              60,              2,       231,         471,          6
 118,           176,              60,              2,       236,         476,          7
 119,           179,              62,              2,       237,         481,          7
 120,           180,              62,              3,       239,         486,         13
 121,           181,              62,              3,       245,         491,         14
 122,           182,              62,              3,       250,         496,          7
 123,           183,              62,              2,       255,         501,          7
 124,           184,              62,              2,       257,         506,          8
 125,           185,              62,              3,       263,         511,         15
 126,           186,              62,              2,       264,         516,          8
 127,           187,              62,              2,       264,         522,          8
 128,           188,              62,              2,       261,         528,          7
 129,           191,              64,              2,       265,         534,          7
 130,           192,              64,              2,       266,         540,          8
 131,           193,              64,              2,       270,         546,          7
 132,           194,              64,              2,       269,         552,          8
 133,           196,              65,              2,       270,         558,          8
 134,           197,              65,              2,       275,         564,          7
 135,           198,              65,              2,       276,         570,          8
 136,           199,              65,              4,       283,         576,          9
 137,           200,              65,              2,       287,         582,          8
 138,           201,              65,              2,       285,         588,          7
 139,           202,              65,              2,       286,         594,          7
 140,           203,              65,              2,       288,         600,          9
 141,           204,              65,              2,       294,         606,         16
 142,           205,              65,              2,       295,         612,         10
 143,           208,              67,              2,       296,         618,          7
 144,           209,              67,              2,       300,         624,          8
 145,           210,              67,              3,       301,         630,          8
 146,           212,              68,              2,       302,         636,          7
 147,           213,              68,              2,       304,         642,          8
 148,           214,              68,              2,       306,         648,          9
 149,           215,              68,              2,       308,         654,         12
 150,           217,              69,              2,       317,         660,          8
 151,           219,              70,              3,       319,         666,          8
 152,           220,              70,              2,       323,         672,         10
 153,           221,              70,              2,       327,         678,          8
 154,           222,              70,              2,       329,         684,         16
 155,           223,              70,              4,       332,         690,         16
 156,           224,              70,              4,       334,         696,         17
 157,           225,              70,              4,       335,         702,         16
 158,           226,              70,              3,       345,         708,         15
 159,           228,              71,              2,       347,         714,          8
 160,           229,              71,              2,       347,         720,          8
 161,           230,              71,              2,       349,         726,          9
 162,           232,              72,              2,       350,         732,          8
 163,           233,              72,              2,       352,         738,          8
 164,           234,              72,              4,       357,         744,          9
 165,           236,              73,              3,       358,         750,         10
 166,           239,              75,              2,       364,         756,          9
 167,           243,              78,              2,       366,         762,          9
 168,           248,              82,              2,       370,         768,          9
 169,           249,              82,              3,       372,         774,         11
 170,           250,              82,              4,       374,         780,         17
 171,           251,              82,              5,       377,         786,         18
 172,           252,              82,              4,       383,         792,         19
