    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              1,         0,           0,          0
    1,             0,               0,              0,         0,           0,          0
    2,             1,               0,              0,         0,           0,          0
    3,             2,               0,              0,         0,           1,          0
    4,             5,               3,              4,         1,           2,          0
    5,             7,               4,              0,         1,           3,          7
    6,            12,               9,              0,         3,           4,         11
    7,            18,              15,              0,         2,           6,          0
    8,            25,              21,              0,         3,           8,          0
    9,            28,              23,              0,         7,          10,          0
   10,            35,              29,              1,         7,          12,          2
   11,            36,              29,              0,         9,          14,          0
   12,            46,              38,              1,        11,          16,          1
   13,            50,              41,              1,        11,          18,          1
   14,            56,              46,              1,        13,          20,          0
   15,            60,              49,              0,        17,          23,          1
   16,            69,              57,              0,        13,          26,          1
   17,            72,              59,              0,        19,          29,          1
   18,            87,              73,              1,        17,          32,          2
   19,            97,              82,              1,        20,          35,          1
   20,           101,              85,              1,        26,          38,          1
   21,           112,              95,              1,        27,          41,          1
   22,           113,              95,              1,        29,          44,          1
   23,           116,              97,              1,        35,          47,          1
   24,           126,             106,              1,        35,          50,          1
   25,           147,             126,              1,        36,          53,          1
   26,           159,             137,              1,        38,          56,          1
   27,           176,             153,              1,        44,          59,          1
   28,           182,             158,              2,        44,          62,          1
   29,           189,             164,              2,        44,          65,          2
   30,           211,             185,              4,        48,          68,          2
   31,           241,             215,              5,        51,          72,          3
   32,           268,             241,              2,        47,          76,          3
   33,           294,             266,              3,        51,          80,          1
   34,           318,             289,              3,        52,          84,          1
   35,           346,             316,              3,        51,          88,          1
   36,           381,             350,              3,        63,          92,          2
   37,           397,             365,              4,        66,          96,          2
   38,           431,             398,              4,        66,         100,          1
   39,           469,             436,              4,        72,         104,          1
   40,           497,             463,              4,        68,         108,          1
   41,           512,             477,              4,        74,         112,          1
   42,           514,             478,              4,        78,         116,          2
   43,           519,             482,              5,        82,         120,          1
   44,           531,             493,              5,        96,         124,          2
   45,           575,             537,              5,        96,         128,          1
   46,           618,             579,              5,       101,         132,          2
   47,           633,             593,              5,       102,         136,          2
   48,           652,             611,              5,       106,         140,          2
   49,           696,             654,              6,       112,         144,          2
   50,           723,             680,              6,       110,         148,          2
   51,           753,             709,              6,       118,         152,          2
   52,           804,             759,             11,       113,         156,          2
   53,           855,             809,              7,       115,         160,          3
   54,           905,             858,             10,       117,         164,          3
   55,           927,             879,              8,       120,         168,          3
   56,           973,             924,              9,       131,         172,          3
   57,          1026,             976,              9,       133,         176,          4
   58,          1036,             985,             16,       142,         180,          4
   59,          1091,            1039,              9,       144,         184,          2
   60,          1134,            1081,             10,       140,         188,          4
   61,          1162,            1108,             10,       146,         192,          3
   62,          1198,            1143,             12,       149,         196,          3
   63,          1216,            1160,             18,       149,         201,          5
   64,          1235,            1178,             20,       148,         206,          5
   65,          1293,            1235,             11,       141,         211,          6
   66,          1350,            1291,             12,       161,         216,          3
   67,          1363,            1303,             11,       163,         221,          2
   68,          1408,            1347,             13,       160,         226,          4
   69,          1430,            1368,             12,       168,         231,          3
   70,          1499,            1436,             13,       178,         236,          5
   71,          1529,            1465,             13,       183,         241,          5
   72,          1540,            1475,             13,       166,         246,          2
   73,          1587,            1521,             13,       173,         251,          4
   74,          1630,            1563,             15,       183,         256,          3
   75,          1699,            1631,             14,       193,         261,          2
   76,          1760,            1691,             15,       195,         266,          4
   77,          1806,            1736,             15,       189,         271,          4
   78,          1810,            1739,             25,       202,         276,          3
   79,          1837,            1765,             22,       207,         281,          6
   80,          1879,            1806,             24,       215,         286,          6
   81,          1907,            1833,             28,       219,         291,          5
   82,          1933,            1858,             28,       205,         296,          6
   83,          1936,            1860,             28,       207,         301,          5
   84,          1980,            1903,             29,       217,         306,          5
   85,          2050,            1972,             28,       224,         311,          7
   86,          2053,            1974,             31,       248,         316,          5
   87,          2089,            2009,             33,       250,         321,          7
   88,          2129,            2048,             31,       238,         326,          5
   89,          2191,            2109,             31,       269,         331,          7
   90,          2270,            2187,             29,       260,         336,         11
   91,          2323,            2239,             38,       269,         341,          9
   92,          2333,            2248,             37,       269,         346,          6
   93,          2400,            2314,             39,       268,         351,          8
   94,          2425,            2338,             41,       278,         356,          8
   95,          2454,            2366,             39,       282,         361,          8
   96,          2542,            2453,             21,       286,         366,          5
   97,          2630,            2540,             23,       281,         371,          5
   98,          2695,            2604,             22,       300,         376,          5
   99,          2710,            2618,             23,       301,         381,          7
  100,          2797,            2704,             40,       295,         386,          4
  101,          2811,            2717,             24,       297,         391,          5
  102,          2870,            2775,             24,       315,         396,          4
  103,          2904,            2808,            290,       314,         401,          7
  104,          2979,            2882,             25,       303,         406,          5
  105,          3083,            2985,             26,       317,         411,          4
  106,          3110,            3011,            235,       320,         416,          5
  107,          3199,            3099,             27,       311,         421,          5
  108,          3238,            3137,             27,       324,         426,          5
  109,          3333,            3231,             78,       340,         431,          5
  110,          3372,            3269,             28,       330,         436,          5
  111,          3457,            3353,             29,       335,         441,          4
  112,          3568,            3464,             74,       331,         446,          6
  113,          3603,            3498,             32,       357,         451,          7
  114,          3626,            3520,             51,       362,         456,          5
  115,          3738,            3631,             31,       365,         461,          4
  116,          3801,            3693,             31,       365,         466,          5
  117,          3820,            3711,             88,       381,         471,          5
  118,          3912,            3802,             32,       380,         476,          6
  119,          3956,            3845,             90,       381,         481,          5
  120,          4075,            3964,             34,       382,         486,          6
  121,          4103,            3991,            106,       389,         491,          7
  122,          4218,            4105,             35,       376,         496,          6
  123,          4304,            4190,            152,       376,         501,          8
  124,          4321,            4206,             67,       394,         506,         10
  125,          4352,            4236,            154,       395,         511,         10
  126,          4463,            4346,             70,       406,         516,         11
  127,          4564,            4446,            144,       411,         522,          9
  128,          4623,            4504,             39,       415,         528,          7
  129,          4704,            4584,            159,       422,         534,         10
  130,          4824,            4703,             40,       424,         540,          7
  131,          4943,            4821,            212,       428,         546,          8
  132,          5008,            4885,             65,       411,         552,         13
  133,          5087,            4963,            153,       411,         558,         11
  134,          5209,            5084,             60,       441,         564,         10
  135,          5260,            5134,            151,       443,         570,          9
  136,          5282,            5155,             76,       449,         576,         10
  137,          5331,            5203,            179,       452,         582,          9
  138,          5419,            5290,             92,       441,         588,         11
  139,          5421,            5291,            124,       442,         594,         10
  140,          5493,            5362,             47,       455,         600,          7
  141,          5576,            5444,            132,       474,         606,          7
  142,          5714,            5581,             47,       490,         612,          7
  143,          5848,            5714,            200,       500,         618,         11
  144,          5895,            5760,             82,       503,         624,         10
  145,          5993,            5857,             14,       489,         630,          9
  146,          6126,            5989,             14,       458,         636,         10
  147,          6234,            6096,             10,       453,         642,          7
  148,          6305,            6166,             10,       494,         648,          7
  149,          6426,            6286,              9,       494,         654,          7
  150,          6456,            6315,              9,       504,         660,          7
  151,          6597,            6455,              9,       504,         666,          6
  152,          6637,            6494,             10,       527,         672,          6
  153,          6753,            6609,              9,       533,         678,          7
  154,          6786,            6641,             10,       517,         684,         11
  155,          6831,            6685,             15,       518,         690,          6
  156,          6932,            6785,             10,       522,         696,          6
  157,          6942,            6794,             10,       546,         702,          6
  158,          7034,            6885,             10,       551,         708,          7
  159,          7080,            6930,             10,       559,         714,          7
  160,          7164,            7013,             10,       555,         720,          6
  161,          7184,            7032,             10,       552,         726,          7
  162,          7212,            7059,             10,       578,         732,          7
