 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              1,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0
 2,             1,               0,              0,         0,           0,          1
 3,             2,               0,              0,         0,           1,          1
 4,             4,               1,              1,         1,           2,          2
 5,             8,               5,              1,         1,           3,          2
 6,            13,               9,              2,         2,           4,          3
 7,            15,              10,              2,         3,           6,          3
 8,            17,              11,              2,         5,           8,          3
 9,            20,              13,              2,         7,          10,          4
10,            21,              13,              2,         7,          12,          4
